ProjectGroupID,AltProjectID,ProjectID,ElementName,Division,MetroAreaID,Latitude,Longitude,Address,city,State,state_fips,ZipCode,County,MetroAreaTitle,CountyName,county_fips,cbsa_code,cbsa_name,msa_name,ProductID,ProductDescription,Active,MinSquareFootage,MaxSquareFootage,MinBaseSalesPrice,MaxBaseSalesPrice,ProductTypeID,NumberBedrooms,NumberFullBaths,NumberHalfBaths,NumberGarageSpaces
RYS,RYS3,Rocky Springs SFD,Rocky Springs SFD (RYS3),Columbia,1010,33.995136,-81.340495,309 Prismatic Way,Lexington,SC,45,29072,52,Columbia,Lexington,63,17900,Columbia SC,Columbia SC MSA,001435,Shiloh,Y,3596,3596,295900.00,303900.00,4,4,3,0,2
AOS,AOS3,Ashley Oaks SFD,Ashley Oaks SFD (AOS3),Columbia,1010,34.178023,-81.005597,Winding Oak Way,Blythewood,SC,45,29016,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001480,Katherine,Y,4206,4747,453900.00,463900.00,4,5,2,1,2
WSA,WSA,Westside at Shady Grove Metro 2o2,Westside at Shady Grove Metro 2o2 (WSA),Maryland,1001,39.1253,-77.1667,16164 Columbus Avenue,Rockville,MD,24,20855,14,Maryland,Montgomery,31,47900,Washington-Arlington-Alexandria DC-VA-MD-WV,Washington-Baltimore DC-MD-VA-WV CMSA,001262,Paisley,Y,2440,2550,574990.00,583990.00,1,3,2,1,1
VST,VST3,Vancouver Station at Trolley Run SFD,Vancouver Station at Trolley Run SFD (VST3),Aiken/Augusta,1013,33.582816,-81.77637,507 Burnaby Court,Aiken,SC,45,29801,37,Aiken/North Augusta,Aiken,3,12260,Augusta-Richmond County GA-SC,Augusta-Aiken GA-SC MSA,001420,Barlow,Y,2273,2306,238900.00,246900.00,4,3,2,1,2
HCX,HCX3,Hitchcock Crossing SFD,Hitchcock Crossing SFD (HCX3),Aiken/Augusta,1013,33.54691,-81.783014,6058 Hightop Lane,Aiken,SC,45,29801,37,Aiken/North Augusta,Aiken,3,12260,Augusta-Richmond County GA-SC,Augusta-Aiken GA-SC MSA,001434,Summerville,Y,3442,3442,314900.00,318900.00,4,4,3,0,3
SCK,SCK3,Sage Creek SFD,Sage Creek SFD (SCK3),Aiken/Augusta,1013,33.593076,-81.824541,1182 Sapphire Drive,Graniteville,SC,45,29829,37,Aiken/North Augusta,Aiken,3,12260,Augusta-Richmond County GA-SC,Augusta-Aiken GA-SC MSA,001427,Hazelwood SLAB,Y,2025,2025,245900.00,254900.00,4,4,3,0,2
LSA,LSA1,Lakeside Landing II TH,Lakeside Landing II TH (LSA1),Richmond,1006,37.6092,-77.4621,5616 Brook Road,Richmond,VA,51,23227,20,Richmond,Henrico,87,40060,Richmond VA,Richmond-Petersburg VA MSA,326,Perry,Y,1941,2252,335990.00,339490.00,2,3,2,2,2
APO,APO1,West Village at Avalon Park Orlando TH,West Village at Avalon Park Orlando TH (APO1),Orlando,1016,28.513897,-81.155710,"3502 Avalon Park West Blvd,",Orlando,NC,37,32828,23,Orlando,Orange,135,20500,Durham-Chapel Hill NC,Raleigh-Durham-Chapel Hill NC MSA,002084,Archer,Y,0,0,423137.00,423137.00,2,4,3,1,2
HTR,HTR3,Honey Tree SFD,Honey Tree SFD (HTR3),Columbia,1010,33.98179,-80.881181,148 Honey Tree Road,Columbia,SC,45,29209,51,Columbia,Richland ,79,17900,Columbia SC,Columbia SC MSA,001448,Harley,Y,2006,2006,226900.00,229900.00,4,4,3,0,2
WEV,VWF3,West Village SFD,West Village SFD (VWF3),Raleigh,1004,35.713269,-78.887334,1982 Custom Lane,Apex,NC,37,27502,22,Raleigh/Durham,Wake,183,39580,Raleigh-Cary NC,Raleigh-Durham-Chapel Hill NC MSA,001302,Graham SLAB,Y,2145,2556,537490.00,543490.00,4,3,2,1,2
