ZipCode,Latitude,Longitude,State,StateFullName,City,CityAliasName,CountyMixedCase
27263,35.906674,-79.953118,NC,North Carolina,HIGH POINT,HIGH POINT,Guilford
27264,35.9557,-80.0057,NC,North Carolina,HIGH POINT,HIGH POINT,Guilford
27265,36.011878,-80.039182,NC,North Carolina,HIGH POINT,HIGH POINT,Guilford
27268,35.969582,-79.992509,NC,North Carolina,HIGH POINT,HIGH POINT,Guilford
27278,36.069564,-79.064393,NC,North Carolina,HILLSBOROUGH,HILLSBOROUGH,Orange
27281,35.183468,-79.640032,NC,North Carolina,JACKSON SPRINGS,JACKSON SPRINGS,Moore
27282,35.994324,-79.92963,NC,North Carolina,JAMESTOWN,JAMESTOWN,Guilford
27283,35.950208,-79.631599,NC,North Carolina,JULIAN,JULIAN,Guilford
27284,36.118256,-80.07602,NC,North Carolina,KERNERSVILLE,KERNERSVILLE,Forsyth
27285,36.1199,-80.0738,NC,North Carolina,KERNERSVILLE,KERNERSVILLE,Forsyth
27288,36.485107,-79.738993,NC,North Carolina,EDEN,EDEN,Rockingham
27289,36.4884,-79.7667,NC,North Carolina,EDEN,EDEN,Rockingham
27291,36.389013,-79.170394,NC,North Carolina,LEASBURG,LEASBURG,Caswell
27292,35.732286,-80.191576,NC,North Carolina,LEXINGTON,LEXINGTON,Davidson
27293,35.8238,-80.2538,NC,North Carolina,LEXINGTON,LEXINGTON,Davidson
27294,35.8238,-80.2538,NC,North Carolina,LEXINGTON,LEXINGTON,Davidson
27295,35.874112,-80.330925,NC,North Carolina,LEXINGTON,LEXINGTON,Davidson
27298,35.887051,-79.563156,NC,North Carolina,LIBERTY,LIBERTY,Randolph
27299,35.760581,-80.387007,NC,North Carolina,LINWOOD,LINWOOD,Davidson
27301,36.113694,-79.670372,NC,North Carolina,MC LEANSVILLE,MC LEANSVILLE,Guilford
27302,36.136502,-79.267004,NC,North Carolina,MEBANE,MEBANE,Alamance
27305,36.508343,-79.217338,NC,North Carolina,MILTON,MILTON,Caswell
27306,35.219835,-79.974232,NC,North Carolina,MOUNT GILEAD,MOUNT GILEAD,Montgomery
27310,36.172118,-79.991758,NC,North Carolina,OAK RIDGE,OAK RIDGE,Guilford
27311,36.462774,-79.480087,NC,North Carolina,PELHAM,PELHAM,Caswell
27312,35.753878,-79.205479,NC,North Carolina,PITTSBORO,PITTSBORO,Chatham
27313,35.928908,-79.750414,NC,North Carolina,PLEASANT GARDEN,PLEASANT GARDEN,Guilford
27314,36.293418,-79.194779,NC,North Carolina,PROSPECT HILL,PROSPECT HILL,Caswell
27315,36.500448,-79.39326,NC,North Carolina,PROVIDENCE,PROVIDENCE,Caswell
27316,35.687416,-79.616002,NC,North Carolina,RAMSEUR,RAMSEUR,Randolph
27317,35.838808,-79.797691,NC,North Carolina,RANDLEMAN,RANDLEMAN,Randolph
27320,36.341886,-79.64371,NC,North Carolina,REIDSVILLE,REIDSVILLE,Rockingham
27323,36.3547,-79.6644,NC,North Carolina,REIDSVILLE,REIDSVILLE,Rockingham
27325,35.457928,-79.551779,NC,North Carolina,ROBBINS,ROBBINS,Moore
27326,36.445874,-79.549546,NC,North Carolina,RUFFIN,RUFFIN,Rockingham
27330,35.51048,-79.199727,NC,North Carolina,SANFORD,SANFORD,Lee
27331,35.4797,-79.1809,NC,North Carolina,SANFORD,SANFORD,Lee
27332,35.365704,-79.148242,NC,North Carolina,SANFORD,SANFORD,Lee
27340,35.9472,-79.322,NC,North Carolina,SAXAPAHAW,SAXAPAHAW,Alamance
27341,35.521479,-79.696354,NC,North Carolina,SEAGROVE,SEAGROVE,Randolph
27342,36.07554,-79.630273,NC,North Carolina,SEDALIA,SEDALIA,Guilford
27343,36.494574,-79.092734,NC,North Carolina,SEMORA,SEMORA,Person
27344,35.717116,-79.440848,NC,North Carolina,SILER CITY,SILER CITY,Chatham
27349,35.897854,-79.400424,NC,North Carolina,SNOW CAMP,SNOW CAMP,Alamance
27350,35.797443,-79.896332,NC,North Carolina,SOPHIA,SOPHIA,Randolph
27351,35.6676,-80.2672,NC,North Carolina,SOUTHMONT,SOUTHMONT,Davidson
27355,35.796228,-79.56882,NC,North Carolina,STALEY,STALEY,Randolph
27356,35.43541,-79.796564,NC,North Carolina,STAR,STAR,Montgomery
27357,36.26935,-79.972774,NC,North Carolina,STOKESDALE,STOKESDALE,Guilford
27358,36.22888,-79.87233,NC,North Carolina,SUMMERFIELD,SUMMERFIELD,Guilford
27359,36.0211,-79.3614,NC,North Carolina,SWEPSONVILLE,SWEPSONVILLE,Alamance
27360,35.863779,-80.101318,NC,North Carolina,THOMASVILLE,THOMASVILLE,Davidson
27361,35.8825,-80.0824,NC,North Carolina,THOMASVILLE,THOMASVILLE,Davidson
27370,35.803155,-79.981124,NC,North Carolina,TRINITY,TRINITY,Randolph
27371,35.431521,-79.953804,NC,North Carolina,TROY,TROY,Montgomery
27373,36.0101,-80.1394,NC,North Carolina,WALLBURG,WALLBURG,Davidson
27374,35.9029,-80.2573,NC,North Carolina,WELCOME,WELCOME,Davidson
27375,36.4,-79.7732,NC,North Carolina,WENTWORTH,WENTWORTH,Rockingham
27376,35.251594,-79.533942,NC,North Carolina,WEST END,WEST END,Moore
27377,36.037424,-79.607189,NC,North Carolina,WHITSETT,WHITSETT,Guilford
27379,36.385034,-79.345745,NC,North Carolina,YANCEYVILLE,YANCEYVILLE,Caswell
27401,36.071916,-79.769346,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27402,36.0726,-79.7925,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27403,36.061556,-79.823444,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27404,36.0726,-79.7925,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27405,36.115362,-79.738186,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27406,35.991318,-79.761739,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27407,36.006178,-79.872066,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27408,36.102377,-79.815407,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27409,36.105506,-79.936434,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27410,36.11,-79.895031,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27411,36.078398,-79.770908,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27412,36.0726,-79.7925,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27413,36.06992,-79.81084,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27415,36.0726,-79.7925,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27416,36.0726,-79.7925,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
27417,36.0726,-79.7925,NC,North Carolina,GREENSBORO,GREENSBORO,Guilford
